Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
11:00 PM,47 F,0 F,0 %,N,5 mph,0 mph,0.00 in,0.0 in,Fair
12:00 AM,47 F,0 F,0 %,NE,7 mph,0 mph,0.00 in,0.0 in,Fair
1:00 AM,47 F,0 F,0 %,ENE,7 mph,0 mph,0.00 in,0.0 in,Fair
2:00 AM,47 F,0 F,0 %,E,5 mph,0 mph,0.00 in,0.0 in,Fair
3:00 AM,48 F,0 F,0 %,E,5 mph,0 mph,0.00 in,0.0 in,Fair
4:00 AM,49 F,0 F,0 %,E,2 mph,0 mph,0.00 in,0.0 in,Fair
5:00 AM,49 F,0 F,0 %,ESE,2 mph,0 mph,0.00 in,0.0 in,Fair
6:00 AM,51 F,0 F,0 %,ESE,5 mph,0 mph,0.00 in,0.0 in,Fair
7:00 AM,52 F,0 F,0 %,ESE,2 mph,0 mph,0.00 in,0.0 in,Fair
8:00 AM,54 F,0 F,0 %,SSE,2 mph,0 mph,0.00 in,0.0 in,Fair
9:00 AM,57 F,0 F,0 %,S,3 mph,0 mph,0.00 in,0.0 in,Fair
10:00 AM,60 F,0 F,0 %,S,6 mph,0 mph,0.00 in,0.0 in,Fair
11:00 AM,61 F,0 F,0 %,SSW,6 mph,0 mph,0.00 in,0.0 in,Fair
12:00 PM,60 F,0 F,0 %,SSW,3 mph,0 mph,0.00 in,0.1 in,Fair
1:00 PM,60 F,0 F,0 %,S,2 mph,0 mph,0.00 in,0.2 in,Fair
2:00 PM,60 F,0 F,0 %,ENE,3 mph,0 mph,0.00 in,0.1 in,Fair
3:00 PM,60 F,0 F,0 %,N,3 mph,0 mph,0.00 in,0.1 in,Fair
4:00 PM,52 F,0 F,0 %,N,10 mph,0 mph,0.00 in,0.2 in,Fair
5:00 PM,50 F,0 F,0 %,NNW,14 mph,0 mph,0.00 in,0.2 in,Fair
6:00 PM,48 F,0 F,0 %,NNW,9 mph,0 mph,0.00 in,0.6 in,Fair
7:00 PM,47 F,0 F,0 %,NNW,9 mph,0 mph,0.00 in,0.2 in,Fair
8:00 PM,46 F,0 F,0 %,NE,8 mph,0 mph,0.00 in,0.1 in,Fair
9:00 PM,47 F,0 F,0 %,E,6 mph,0 mph,0.00 in,0.0 in,Fair
10:00 PM,49 F,0 F,0 %,NNE,3 mph,0 mph,0.00 in,0.4 in,Fair
